representation,label_type,silhouette,space
kmer3_freq,protein,0.6372526171114289,pca_2d
kmer3_freq,subtype,0.40487965218108146,pca_2d
kmer3_freq,protein_subtype,0.8342072563188496,pca_2d
kmer4_freq,protein,0.6326842069617,pca_2d
kmer4_freq,subtype,0.3788068070889107,pca_2d
kmer4_freq,protein_subtype,0.8219655935456675,pca_2d
kmer5_freq,protein,0.6354963724599402,pca_2d
kmer5_freq,subtype,0.28449014832189334,pca_2d
kmer5_freq,protein_subtype,0.7388535435339182,pca_2d
kmer3_tfidf,protein,0.6408936691964069,pca_2d
kmer3_tfidf,subtype,0.39538232901247095,pca_2d
kmer3_tfidf,protein_subtype,0.8317900525093036,pca_2d
kmer4_tfidf,protein,0.6480287700726483,pca_2d
kmer4_tfidf,subtype,0.3309492721911688,pca_2d
kmer4_tfidf,protein_subtype,0.7851643202087798,pca_2d
codon_freq,protein,0.6450859499350231,pca_2d
codon_freq,subtype,0.3342293490620549,pca_2d
codon_freq,protein_subtype,0.7848540089786886,pca_2d
rscu,protein,0.4718066447639677,pca_2d
rscu,subtype,0.5199363215368826,pca_2d
rscu,protein_subtype,0.8181137504266337,pca_2d
