tokenizer,source,family,boundary_context,protein,subtype,protein_subtype,n_sequences,mean_codon_boundary_crossing_fraction,median_codon_boundary_crossing_fraction
cds_codon,cds_refined,codon,cds_refined_codon_aligned,HA,H1N1,HA-H1N1,2348,0.0,0.0
cds_codon,cds_refined,codon,cds_refined_codon_aligned,HA,H3N2,HA-H3N2,1988,0.0,0.0
cds_codon,cds_refined,codon,cds_refined_codon_aligned,NA,H1N1,NA-H1N1,2577,0.0,0.0
cds_codon,cds_refined,codon,cds_refined_codon_aligned,NA,H3N2,NA-H3N2,2061,0.0,0.0
cds_frame_k3,cds_refined,frame_aware_kmer,cds_refined_frame0,HA,H1N1,HA-H1N1,2348,0.0,0.0
cds_frame_k3,cds_refined,frame_aware_kmer,cds_refined_frame0,HA,H3N2,HA-H3N2,1988,0.0,0.0
cds_frame_k3,cds_refined,frame_aware_kmer,cds_refined_frame0,NA,H1N1,NA-H1N1,2577,0.0,0.0
cds_frame_k3,cds_refined,frame_aware_kmer,cds_refined_frame0,NA,H3N2,NA-H3N2,2061,0.0,0.0
cds_frame_k6,cds_refined,frame_aware_kmer,cds_refined_frame0,HA,H1N1,HA-H1N1,2348,1.0,1.0
cds_frame_k6,cds_refined,frame_aware_kmer,cds_refined_frame0,HA,H3N2,HA-H3N2,1988,1.0,1.0
cds_frame_k6,cds_refined,frame_aware_kmer,cds_refined_frame0,NA,H1N1,NA-H1N1,2577,1.0,1.0
cds_frame_k6,cds_refined,frame_aware_kmer,cds_refined_frame0,NA,H3N2,NA-H3N2,2061,1.0,1.0
cds_nonoverlap_k3_offset0,cds_refined,non_overlapping_kmer,cds_refined_offset_sensitivity,HA,H1N1,HA-H1N1,2348,0.0,0.0
cds_nonoverlap_k3_offset0,cds_refined,non_overlapping_kmer,cds_refined_offset_sensitivity,HA,H3N2,HA-H3N2,1988,0.0,0.0
cds_nonoverlap_k3_offset0,cds_refined,non_overlapping_kmer,cds_refined_offset_sensitivity,NA,H1N1,NA-H1N1,2577,0.0,0.0
cds_nonoverlap_k3_offset0,cds_refined,non_overlapping_kmer,cds_refined_offset_sensitivity,NA,H3N2,NA-H3N2,2061,0.0,0.0
cds_nonoverlap_k3_offset1,cds_refined,non_overlapping_kmer,cds_refined_offset_sensitivity,HA,H1N1,HA-H1N1,2348,1.0,1.0
cds_nonoverlap_k3_offset1,cds_refined,non_overlapping_kmer,cds_refined_offset_sensitivity,HA,H3N2,HA-H3N2,1988,1.0,1.0
cds_nonoverlap_k3_offset1,cds_refined,non_overlapping_kmer,cds_refined_offset_sensitivity,NA,H1N1,NA-H1N1,2577,1.0,1.0
cds_nonoverlap_k3_offset1,cds_refined,non_overlapping_kmer,cds_refined_offset_sensitivity,NA,H3N2,NA-H3N2,2061,1.0,1.0
cds_nonoverlap_k3_offset2,cds_refined,non_overlapping_kmer,cds_refined_offset_sensitivity,HA,H1N1,HA-H1N1,2348,1.0,1.0
cds_nonoverlap_k3_offset2,cds_refined,non_overlapping_kmer,cds_refined_offset_sensitivity,HA,H3N2,HA-H3N2,1988,1.0,1.0
cds_nonoverlap_k3_offset2,cds_refined,non_overlapping_kmer,cds_refined_offset_sensitivity,NA,H1N1,NA-H1N1,2577,1.0,1.0
cds_nonoverlap_k3_offset2,cds_refined,non_overlapping_kmer,cds_refined_offset_sensitivity,NA,H3N2,NA-H3N2,2061,1.0,1.0
raw_nonoverlap_k3,raw_nucleotide,non_overlapping_kmer,position0_proxy_not_cds,HA,H1N1,HA-H1N1,5000,0.0,0.0
raw_nonoverlap_k3,raw_nucleotide,non_overlapping_kmer,position0_proxy_not_cds,HA,H3N2,HA-H3N2,5000,0.0,0.0
raw_nonoverlap_k3,raw_nucleotide,non_overlapping_kmer,position0_proxy_not_cds,NA,H1N1,NA-H1N1,5000,0.0,0.0
raw_nonoverlap_k3,raw_nucleotide,non_overlapping_kmer,position0_proxy_not_cds,NA,H3N2,NA-H3N2,5000,0.0,0.0
raw_nonoverlap_k4,raw_nucleotide,non_overlapping_kmer,position0_proxy_not_cds,HA,H1N1,HA-H1N1,5000,1.0,1.0
raw_nonoverlap_k4,raw_nucleotide,non_overlapping_kmer,position0_proxy_not_cds,HA,H3N2,HA-H3N2,5000,1.0,1.0
raw_nonoverlap_k4,raw_nucleotide,non_overlapping_kmer,position0_proxy_not_cds,NA,H1N1,NA-H1N1,5000,1.0,1.0
raw_nonoverlap_k4,raw_nucleotide,non_overlapping_kmer,position0_proxy_not_cds,NA,H3N2,NA-H3N2,5000,1.0,1.0
raw_nonoverlap_k5,raw_nucleotide,non_overlapping_kmer,position0_proxy_not_cds,HA,H1N1,HA-H1N1,5000,1.0,1.0
raw_nonoverlap_k5,raw_nucleotide,non_overlapping_kmer,position0_proxy_not_cds,HA,H3N2,HA-H3N2,5000,1.0,1.0
raw_nonoverlap_k5,raw_nucleotide,non_overlapping_kmer,position0_proxy_not_cds,NA,H1N1,NA-H1N1,5000,1.0,1.0
raw_nonoverlap_k5,raw_nucleotide,non_overlapping_kmer,position0_proxy_not_cds,NA,H3N2,NA-H3N2,5000,1.0,1.0
raw_nonoverlap_k6,raw_nucleotide,non_overlapping_kmer,position0_proxy_not_cds,HA,H1N1,HA-H1N1,5000,1.0,1.0
raw_nonoverlap_k6,raw_nucleotide,non_overlapping_kmer,position0_proxy_not_cds,HA,H3N2,HA-H3N2,5000,1.0,1.0
raw_nonoverlap_k6,raw_nucleotide,non_overlapping_kmer,position0_proxy_not_cds,NA,H1N1,NA-H1N1,5000,1.0,1.0
raw_nonoverlap_k6,raw_nucleotide,non_overlapping_kmer,position0_proxy_not_cds,NA,H3N2,NA-H3N2,5000,1.0,1.0
raw_overlap_k3,raw_nucleotide,overlapping_kmer,position0_proxy_not_cds,HA,H1N1,HA-H1N1,5000,0.6663436815214805,0.6662817551963048
raw_overlap_k3,raw_nucleotide,overlapping_kmer,position0_proxy_not_cds,HA,H3N2,HA-H3N2,5000,0.6663643483482793,0.6662824207492796
raw_overlap_k3,raw_nucleotide,overlapping_kmer,position0_proxy_not_cds,NA,H1N1,NA-H1N1,5000,0.6663434821880787,0.6661991584852734
raw_overlap_k3,raw_nucleotide,overlapping_kmer,position0_proxy_not_cds,NA,H3N2,NA-H3N2,5000,0.6663156083622818,0.6662020905923345
raw_overlap_k4,raw_nucleotide,overlapping_kmer,position0_proxy_not_cds,HA,H1N1,HA-H1N1,5000,1.0,1.0
raw_overlap_k4,raw_nucleotide,overlapping_kmer,position0_proxy_not_cds,HA,H3N2,HA-H3N2,5000,1.0,1.0
raw_overlap_k4,raw_nucleotide,overlapping_kmer,position0_proxy_not_cds,NA,H1N1,NA-H1N1,5000,1.0,1.0
raw_overlap_k4,raw_nucleotide,overlapping_kmer,position0_proxy_not_cds,NA,H3N2,NA-H3N2,5000,1.0,1.0
raw_overlap_k5,raw_nucleotide,overlapping_kmer,position0_proxy_not_cds,HA,H1N1,HA-H1N1,5000,1.0,1.0
raw_overlap_k5,raw_nucleotide,overlapping_kmer,position0_proxy_not_cds,HA,H3N2,HA-H3N2,5000,1.0,1.0
raw_overlap_k5,raw_nucleotide,overlapping_kmer,position0_proxy_not_cds,NA,H1N1,NA-H1N1,5000,1.0,1.0
raw_overlap_k5,raw_nucleotide,overlapping_kmer,position0_proxy_not_cds,NA,H3N2,NA-H3N2,5000,1.0,1.0
raw_overlap_k6,raw_nucleotide,overlapping_kmer,position0_proxy_not_cds,HA,H1N1,HA-H1N1,5000,1.0,1.0
raw_overlap_k6,raw_nucleotide,overlapping_kmer,position0_proxy_not_cds,HA,H3N2,HA-H3N2,5000,1.0,1.0
raw_overlap_k6,raw_nucleotide,overlapping_kmer,position0_proxy_not_cds,NA,H1N1,NA-H1N1,5000,1.0,1.0
raw_overlap_k6,raw_nucleotide,overlapping_kmer,position0_proxy_not_cds,NA,H3N2,NA-H3N2,5000,1.0,1.0
