tokenizer,protein,subtype,protein_subtype,n_sequences,mean_cpg_token_fraction,mean_upa_token_fraction,median_cpg_token_fraction,median_upa_token_fraction
cds_codon,HA,H1N1,HA-H1N1,2348,0.01783819922329334,0.12730840518668926,0.019400352733686066,0.12698412698412698
cds_codon,HA,H3N2,HA-H3N2,1988,0.02756816950863435,0.09418053409245529,0.026455026455026454,0.09347442680776014
cds_codon,NA,H1N1,NA-H1N1,2577,0.020154640755380634,0.10948943424672793,0.02127659574468085,0.11063829787234042
cds_codon,NA,H3N2,NA-H3N2,2061,0.024802564217467606,0.09405455426973272,0.02553191489361702,0.09361702127659574
cds_frame_k3,HA,H1N1,HA-H1N1,2348,0.01783819922329334,0.12730840518668926,0.019400352733686066,0.12698412698412698
cds_frame_k3,HA,H3N2,HA-H3N2,1988,0.02756816950863435,0.09418053409245529,0.026455026455026454,0.09347442680776014
cds_frame_k3,NA,H1N1,NA-H1N1,2577,0.020154640755380634,0.10948943424672793,0.02127659574468085,0.11063829787234042
cds_frame_k3,NA,H3N2,NA-H3N2,2061,0.024802564217467606,0.09405455426973272,0.02553191489361702,0.09361702127659574
cds_frame_k6,HA,H1N1,HA-H1N1,2348,0.0653312257130695,0.28869162712207114,0.06713780918727916,0.2862190812720848
cds_frame_k6,HA,H3N2,HA-H3N2,1988,0.08779635662181717,0.2397214490784528,0.08833922261484099,0.24381625441696114
cds_frame_k6,NA,H1N1,NA-H1N1,2577,0.07392115426870129,0.24095007092688328,0.07659574468085106,0.2425531914893617
cds_frame_k6,NA,H3N2,NA-H3N2,2061,0.07359611314201475,0.22369487414758257,0.07234042553191489,0.22127659574468084
cds_nonoverlap_k3_offset0,HA,H1N1,HA-H1N1,2348,0.01783819922329334,0.12730840518668926,0.019400352733686066,0.12698412698412698
cds_nonoverlap_k3_offset0,HA,H3N2,HA-H3N2,1988,0.02756816950863435,0.09418053409245529,0.026455026455026454,0.09347442680776014
cds_nonoverlap_k3_offset0,NA,H1N1,NA-H1N1,2577,0.020154640755380634,0.10948943424672793,0.02127659574468085,0.11063829787234042
cds_nonoverlap_k3_offset0,NA,H3N2,NA-H3N2,2061,0.024802564217467606,0.09405455426973272,0.02553191489361702,0.09361702127659574
cds_nonoverlap_k3_offset1,HA,H1N1,HA-H1N1,2348,0.04544806891998337,0.130383289026738,0.045936395759717315,0.13074204946996468
cds_nonoverlap_k3_offset1,HA,H3N2,HA-H3N2,1988,0.04542690626543314,0.10869823561886675,0.045936395759717315,0.11130742049469965
cds_nonoverlap_k3_offset1,NA,H1N1,NA-H1N1,2577,0.04165135244183644,0.13858203330295588,0.04051172707889126,0.13859275053304904
cds_nonoverlap_k3_offset1,NA,H3N2,NA-H3N2,2061,0.039537692561053404,0.12526371018311852,0.03837953091684435,0.1257995735607676
cds_nonoverlap_k3_offset2,HA,H1N1,HA-H1N1,2348,0.02777860159658791,0.10140612901179243,0.028268551236749116,0.10247349823321555
cds_nonoverlap_k3_offset2,HA,H3N2,HA-H3N2,1988,0.0362756582216872,0.0817687285423576,0.036585365853658534,0.0812720848056537
cds_nonoverlap_k3_offset2,NA,H1N1,NA-H1N1,2577,0.037700754390506526,0.09244138651189089,0.03624733475479744,0.09168443496801706
cds_nonoverlap_k3_offset2,NA,H3N2,NA-H3N2,2061,0.03828914560851947,0.0950055227386269,0.03837953091684435,0.09574468085106383
raw_nonoverlap_k3,HA,H1N1,HA-H1N1,5000,0.02708871857718156,0.12383087643089605,0.019400352733686066,0.125
raw_nonoverlap_k3,HA,H3N2,HA-H3N2,5000,0.035296304470111325,0.10116845100883012,0.031746031746031744,0.09876543209876543
raw_nonoverlap_k3,NA,H1N1,NA-H1N1,5000,0.027783467962033084,0.11908568571425031,0.02127659574468085,0.11063829787234042
raw_nonoverlap_k3,NA,H3N2,NA-H3N2,5000,0.03008702595135299,0.09570812400993758,0.02553191489361702,0.09406952965235174
raw_nonoverlap_k4,HA,H1N1,HA-H1N1,5000,0.04710119182249617,0.17854286075375,0.04794520547945205,0.17882352941176471
raw_nonoverlap_k4,HA,H3N2,HA-H3N2,5000,0.051971829092817175,0.13454555474325477,0.053738317757009345,0.13176470588235295
raw_nonoverlap_k4,NA,H1N1,NA-H1N1,5000,0.050866796603094504,0.16541417343679243,0.05099150141643059,0.164804469273743
raw_nonoverlap_k4,NA,H3N2,NA-H3N2,5000,0.05360998975286259,0.16142679335000143,0.05397727272727273,0.16193181818181818
raw_nonoverlap_k5,HA,H1N1,HA-H1N1,5000,0.05630480280855596,0.22196139050929017,0.05604719764011799,0.22253521126760564
raw_nonoverlap_k5,HA,H3N2,HA-H3N2,5000,0.071802874519044,0.18053164731876864,0.07142857142857142,0.18023255813953487
raw_nonoverlap_k5,NA,H1N1,NA-H1N1,5000,0.07055329208827762,0.20892378714919954,0.07092198581560284,0.20618556701030927
raw_nonoverlap_k5,NA,H3N2,NA-H3N2,5000,0.07147688851261348,0.19610348432000488,0.07368421052631578,0.1950354609929078
raw_nonoverlap_k6,HA,H1N1,HA-H1N1,5000,0.07233889936109761,0.277233472498933,0.0706713780918728,0.27702702702702703
raw_nonoverlap_k6,HA,H3N2,HA-H3N2,5000,0.09002467086218537,0.23993878839967112,0.08833922261484099,0.24028268551236748
raw_nonoverlap_k6,NA,H1N1,NA-H1N1,5000,0.07891252046636235,0.2544515118896245,0.07659574468085106,0.24680851063829787
raw_nonoverlap_k6,NA,H3N2,NA-H3N2,5000,0.08117722317666906,0.23259928451126557,0.07659574468085106,0.23236514522821577
raw_overlap_k3,HA,H1N1,HA-H1N1,5000,0.029756539611173007,0.11765081525154654,0.030250145433391506,0.11771630370806356
raw_overlap_k3,HA,H3N2,HA-H3N2,5000,0.03617078930822765,0.09623148316349549,0.035838150289017344,0.09589832466782207
raw_overlap_k3,NA,H1N1,NA-H1N1,5000,0.033175937086974645,0.11322819140262026,0.032670454545454544,0.11320754716981132
raw_overlap_k3,NA,H3N2,NA-H3N2,5000,0.03434000860146624,0.10545072918007672,0.03415300546448088,0.10511363636363637
raw_overlap_k4,HA,H1N1,HA-H1N1,5000,0.04465764873006803,0.17375353151226935,0.04540162980209546,0.17432273262661954
raw_overlap_k4,HA,H3N2,HA-H3N2,5000,0.05358127532491977,0.14315837114044747,0.05317919075144509,0.1425206124852768
raw_overlap_k4,NA,H1N1,NA-H1N1,5000,0.04966657359701373,0.16601875584491257,0.04904051172707889,0.16563573883161511
raw_overlap_k4,NA,H3N2,NA-H3N2,5000,0.0515363719210987,0.15511937653384789,0.05126452494873548,0.15487035739313246
raw_overlap_k5,HA,H1N1,HA-H1N1,5000,0.05948653109496908,0.22534905384965404,0.06034968979131416,0.2262816735415439
raw_overlap_k5,HA,H3N2,HA-H3N2,5000,0.07096768877880683,0.18670341843709323,0.07060185185185185,0.18589184678606724
raw_overlap_k5,NA,H1N1,NA-H1N1,5000,0.0661702835826965,0.21489304698997472,0.06543385490753911,0.2147937411095306
raw_overlap_k5,NA,H3N2,NA-H3N2,5000,0.06873303497651995,0.1998816704853678,0.06839945280437756,0.19972164231036882
raw_overlap_k6,HA,H1N1,HA-H1N1,5000,0.0742737559889712,0.2737715173047827,0.07518796992481203,0.27535377358490565
raw_overlap_k6,HA,H3N2,HA-H3N2,5000,0.08832235094720049,0.22944422754866764,0.08785377358490566,0.22820694982871748
raw_overlap_k6,NA,H1N1,NA-H1N1,5000,0.08204557374199183,0.2618957435666421,0.08113879003558719,0.2619217081850534
raw_overlap_k6,NA,H3N2,NA-H3N2,5000,0.08594639738954624,0.24115537805796472,0.08549931600547196,0.24094707520891365
