tokenizer,comparison,n,mean,std,ci_lower,ci_upper,ci_width
cds_codon,HA-H1N1 vs HA-H3N2,100,0.1944614696518801,0.0012717684366939787,0.19181133775817238,0.196668695909097,0.004857358150924612
cds_codon,HA-H1N1 vs NA-H1N1,100,0.23193432838601333,0.0013976071526334082,0.2296027110553796,0.23492904013253282,0.005326329077153219
cds_codon,HA-H3N2 vs NA-H3N2,100,0.21074827109827116,0.001359816620321608,0.2081258692114076,0.21302466914251805,0.004898799931110448
cds_codon,NA-H1N1 vs NA-H3N2,100,0.18431230017541517,0.001403971503779869,0.1815577479713816,0.18678711440881754,0.005229366437435934
cds_frame_k6,HA-H1N1 vs HA-H3N2,100,0.8717069552896742,0.0006019277670640825,0.870569044563128,0.8728684903424535,0.002299445779325504
cds_frame_k6,HA-H1N1 vs NA-H1N1,100,0.8999324797731414,0.0005136519105130741,0.8989788272717518,0.9008320274348952,0.001853200163143387
cds_frame_k6,HA-H3N2 vs NA-H3N2,100,0.9260477240225581,0.0004119546257051521,0.9253290465429608,0.9268534732143742,0.0015244266714133925
cds_frame_k6,NA-H1N1 vs NA-H3N2,100,0.8922533701839243,0.0004999943508047932,0.8911851282848442,0.8930618566345839,0.0018767283497397313
cds_nonoverlap_k3_offset0,HA-H1N1 vs HA-H3N2,100,0.1943484735696528,0.0013009819736310452,0.19194012375682903,0.1971185609877637,0.005178437230934668
cds_nonoverlap_k3_offset0,HA-H1N1 vs NA-H1N1,100,0.23210812666117037,0.001227667304337317,0.22972049138327064,0.23425813772542772,0.004537646342157087
cds_nonoverlap_k3_offset0,HA-H3N2 vs NA-H3N2,100,0.21044235428404184,0.001242563160251151,0.20798030556835187,0.21237915455070164,0.004398848982349768
cds_nonoverlap_k3_offset0,NA-H1N1 vs NA-H3N2,100,0.18445321105979207,0.001247393619669368,0.18214256811105933,0.186628651345773,0.004486083234713667
cds_nonoverlap_k3_offset1,HA-H1N1 vs HA-H3N2,100,0.18073606905313755,0.001489587836645123,0.17809172549002703,0.18326020979264143,0.005168484302614407
cds_nonoverlap_k3_offset1,HA-H1N1 vs NA-H1N1,100,0.2306142880528599,0.0013160505939150485,0.22804505023227156,0.23320584938014877,0.005160799147877204
cds_nonoverlap_k3_offset1,HA-H3N2 vs NA-H3N2,100,0.22029054987985003,0.0013974473632597346,0.21800151582197874,0.22282465089111972,0.004823135069140977
cds_nonoverlap_k3_offset1,NA-H1N1 vs NA-H3N2,100,0.19294209330402728,0.0013377171097445977,0.19069993107119862,0.19588007173351532,0.005180140662316701
cds_nonoverlap_k3_offset2,HA-H1N1 vs HA-H3N2,100,0.17856285022485863,0.0013921864031748326,0.1760303132236933,0.18119023458237338,0.00515992135868007
cds_nonoverlap_k3_offset2,HA-H1N1 vs NA-H1N1,100,0.24477640617736138,0.0013233905974972624,0.24182985493823905,0.24695773151747533,0.0051278765792362735
cds_nonoverlap_k3_offset2,HA-H3N2 vs NA-H3N2,100,0.23530413384543933,0.0013451764698794708,0.23266143717159732,0.2375996452009241,0.0049382080293267905
cds_nonoverlap_k3_offset2,NA-H1N1 vs NA-H3N2,100,0.19948259649126307,0.0012713689768107646,0.1970065442682639,0.20211466183181656,0.005108117563552672
raw_nonoverlap_k6,HA-H1N1 vs HA-H3N2,100,0.7378023727525952,0.0007393886843216267,0.736293250352764,0.7392703012643486,0.002977050911584511
raw_nonoverlap_k6,HA-H1N1 vs NA-H1N1,100,0.7870162774904415,0.0008721373261474424,0.7855756140535051,0.7888714733073099,0.0032958592538048226
raw_nonoverlap_k6,HA-H3N2 vs NA-H3N2,100,0.8117455000339977,0.0006779423777232094,0.8103720153143545,0.8130544224937017,0.0026824071793472015
raw_nonoverlap_k6,NA-H1N1 vs NA-H3N2,100,0.8200562123321169,0.0007085913459920179,0.818435307613508,0.8212522379848219,0.0028169303713139193
raw_overlap_k3,HA-H1N1 vs HA-H3N2,100,0.09643812338310097,0.0012782621767445399,0.0940208435253402,0.09883554459512432,0.0048147010697841275
raw_overlap_k3,HA-H1N1 vs NA-H1N1,100,0.11656783971557966,0.0014848100032111007,0.1138879002307699,0.11949691294089936,0.005609012710129452
raw_overlap_k3,HA-H3N2 vs NA-H3N2,100,0.11778542190754183,0.0013223261753221663,0.11554307639163067,0.12003229541954272,0.00448921902791205
raw_overlap_k3,NA-H1N1 vs NA-H3N2,100,0.09271648692193005,0.001183080830407735,0.09053164417878035,0.09462880329077653,0.004097159111996179
raw_overlap_k6,HA-H1N1 vs HA-H3N2,100,0.6422408967424573,0.0008767871970513061,0.640291662466285,0.6438394037361654,0.0035477412698804445
raw_overlap_k6,HA-H1N1 vs NA-H1N1,100,0.6653450100738155,0.0008546919929626269,0.6638199257142691,0.666988812672917,0.0031688869586479207
raw_overlap_k6,HA-H3N2 vs NA-H3N2,100,0.7242693293550886,0.0007292558135435784,0.7228609361238915,0.725772424124242,0.0029114880003505705
raw_overlap_k6,NA-H1N1 vs NA-H3N2,100,0.7190908824801892,0.0006967478277014556,0.717769858903272,0.7203839836542594,0.0026141247509873233
cds_codon,mean_pairwise_nonidentical,100,0.21309715180697744,0.0007894776827288164,0.2116684679253241,0.21461137723045182,0.002942909305127722
cds_frame_k6,mean_pairwise_nonidentical,100,0.895221116455347,0.00024141092579771568,0.894745944601946,0.89567059884812,0.0009246542461739393
cds_nonoverlap_k3_offset0,mean_pairwise_nonidentical,100,0.21304950262843905,0.0007656625583542784,0.21165611618400343,0.21443321530500783,0.002777099121004406
cds_nonoverlap_k3_offset1,mean_pairwise_nonidentical,100,0.210725914131014,0.0008555669765519993,0.2091175514928827,0.21240487163663954,0.00328732014375685
cds_nonoverlap_k3_offset2,mean_pairwise_nonidentical,100,0.21934197994821425,0.0007196882943423966,0.21807470981039825,0.22068395658385964,0.0026092467734613878
raw_nonoverlap_k6,mean_pairwise_nonidentical,100,0.7895835676392028,0.00040496763640765157,0.788726113519967,0.790331402228663,0.0016052887086960288
raw_overlap_k3,mean_pairwise_nonidentical,100,0.1116528207079581,0.0007702446372282912,0.11025721898357896,0.11324532565719486,0.0029881066736159034
raw_overlap_k6,mean_pairwise_nonidentical,100,0.6887571982834608,0.0004173391168211335,0.6880271012541251,0.6894678479837312,0.001440746729606035
