tokenizer,protein_subtype,n,mean,std,ci_lower,ci_upper,ci_width
cds_codon,HA-H1N1,100,0.9687445887445887,0.04835309710424524,0.9047619047619048,1.0,0.09523809523809523
cds_codon,HA-H3N2,100,0.8722077922077921,0.049761129732455965,0.8181818181818182,1.0,0.18181818181818177
cds_codon,NA-H1N1,100,0.8327122153209108,0.04741090865175983,0.7391304347826086,0.9047619047619048,0.16563146997929612
cds_codon,NA-H3N2,100,0.9504761904761905,0.04782064110177888,0.9047619047619048,1.0,0.09523809523809523
cds_frame_k6,HA-H1N1,100,0.4038724866366691,0.06863154157588465,0.2903225806451613,0.5384615384615384,0.24813895781637713
cds_frame_k6,HA-H3N2,100,0.27330559504151075,0.07162704790087354,0.15882352941176478,0.48148148148148145,0.3226579520697167
cds_frame_k6,NA-H1N1,100,0.5498730890964775,0.07596176312659834,0.42857142857142855,0.6666666666666666,0.23809523809523808
cds_frame_k6,NA-H3N2,100,0.23724264192480507,0.043822848988914656,0.17647058823529413,0.3333333333333333,0.15686274509803919
cds_nonoverlap_k3_offset0,HA-H1N1,100,0.9735064935064934,0.046451037399895624,0.9047619047619048,1.0,0.09523809523809523
cds_nonoverlap_k3_offset0,HA-H3N2,100,0.8736796536796535,0.04378733997453853,0.8181818181818182,0.9047619047619048,0.08658008658008653
cds_nonoverlap_k3_offset0,NA-H1N1,100,0.8293242988895162,0.0466006215732034,0.7391304347826086,0.9047619047619048,0.16563146997929612
cds_nonoverlap_k3_offset0,NA-H3N2,100,0.938095238095238,0.04565452242296212,0.9047619047619048,1.0,0.09523809523809523
cds_nonoverlap_k3_offset1,HA-H1N1,100,0.9316883116883116,0.04832176805226529,0.8593073593073596,1.0,0.14069264069264042
cds_nonoverlap_k3_offset1,HA-H3N2,100,0.9308225108225108,0.049568651003283525,0.8181818181818182,1.0,0.18181818181818177
cds_nonoverlap_k3_offset1,NA-H1N1,100,0.923203463203463,0.04545972996925394,0.8181818181818182,1.0,0.18181818181818177
cds_nonoverlap_k3_offset1,NA-H3N2,100,0.9447619047619048,0.047242377499891255,0.9047619047619048,1.0,0.09523809523809523
cds_nonoverlap_k3_offset2,HA-H1N1,100,0.8370412196499152,0.04980342472798103,0.7391304347826086,0.9047619047619048,0.16563146997929612
cds_nonoverlap_k3_offset2,HA-H3N2,100,0.9193939393939392,0.04274783977394925,0.8181818181818182,1.0,0.18181818181818177
cds_nonoverlap_k3_offset2,NA-H1N1,100,0.9077922077922076,0.04847008826882278,0.8181818181818182,1.0,0.18181818181818177
cds_nonoverlap_k3_offset2,NA-H3N2,100,0.9514285714285714,0.04784937083768489,0.9047619047619048,1.0,0.09523809523809523
raw_nonoverlap_k6,HA-H1N1,100,0.2113325447481045,0.03568534846825533,0.14285714285714285,0.27116935483870935,0.1283122119815665
raw_nonoverlap_k6,HA-H3N2,100,0.20367456073338425,0.01918734620344852,0.17647058823529413,0.25,0.07352941176470587
raw_nonoverlap_k6,NA-H1N1,100,0.3381464252423816,0.05349923111116401,0.21212121212121213,0.42857142857142855,0.21645021645021642
raw_nonoverlap_k6,NA-H3N2,100,0.1958454222353653,0.04230572187110622,0.14285714285714285,0.2903225806451613,0.14746543778801846
raw_overlap_k3,HA-H1N1,100,0.9176623376623375,0.061449685874930604,0.8181818181818182,1.0,0.18181818181818177
raw_overlap_k3,HA-H3N2,100,0.8290720873329568,0.057060309394678974,0.7391304347826086,0.9047619047619048,0.16563146997929612
raw_overlap_k3,NA-H1N1,100,0.981904761904762,0.037550213752729766,0.9047619047619048,1.0,0.09523809523809523
raw_overlap_k3,NA-H3N2,100,0.980952380952381,0.03828715486701761,0.9047619047619048,1.0,0.09523809523809523
raw_overlap_k6,HA-H1N1,100,0.16378794761147702,0.04437576783377953,0.08108108108108109,0.25,0.16891891891891891
raw_overlap_k6,HA-H3N2,100,0.2125941663954488,0.049250341383238104,0.12619047619047627,0.3333333333333333,0.20714285714285705
raw_overlap_k6,NA-H1N1,100,0.16725256611629324,0.04563976595615601,0.08108108108108109,0.25,0.16891891891891891
raw_overlap_k6,NA-H3N2,100,0.2701953291400716,0.06450720832032786,0.14285714285714285,0.42857142857142855,0.2857142857142857
